                            -----Size(MB)----- ----Ports----             
 Id CagePos Type RPM State      Total     Free A      B      Capacity(GB)
272 13:3:2  FC    15 normal    559104    77824 2:6:4* 3:6:4           600
273 13:3:3  FC    15 normal    559104    80896 2:6:4  3:6:4*          600
274 11:7:0  FC    10 normal    417792    11264 2:3:1* 3:3:1           450
275 11:7:1  FC    10 normal    417792    15360 2:3:1  3:3:1*          450
276 7:6:0   FC    10 normal    417792     9216 0:6:4* 1:6:4           450
277 14:0:2  FC    10 normal    417792    12288 2:3:4* 3:3:4           450
278 7:6:2   FC    10 normal    417792    15360 0:6:4* 1:6:4           450
279 7:6:3   FC    10 normal    417792    20480 0:6:4  1:6:4*          450
280 8:1:1   FC    10 normal    417792    80896 2:6:1  3:6:1*          450
281 8:1:2   FC    10 normal    417792    80896 2:6:1* 3:6:1           450
282 8:1:3   FC    10 normal    417792    79872 2:6:1  3:6:1*          450
283 8:2:0   FC    10 normal    417792    79872 2:6:1* 3:6:1           450
284 8:2:1   FC    10 normal    417792    81920 2:6:1  3:6:1*          450
285 8:2:2   FC    10 normal    417792    79872 2:6:1* 3:6:1           450
286 8:2:3   FC    10 normal    417792    80896 2:6:1  3:6:1*          450
287 8:8:0   FC    10 normal    417792    80896 2:6:1* 3:6:1           450
288 8:8:1   FC    10 normal    417792    80896 2:6:1  3:6:1*          450
289 8:8:2   FC    10 normal    417792    78848 2:6:1* 3:6:1           450
290 8:8:3   FC    10 normal    417792    80896 2:6:1  3:6:1*          450
291 8:9:0   FC    15 normal    559104    83968 2:6:1* 3:6:1           600
292 8:9:1   FC    15 normal    559104    84992 2:6:1  3:6:1*          600
293 8:9:2   FC    15 normal    559104    84992 2:6:1* 3:6:1           600
294 8:9:3   FC    15 normal    559104    84992 2:6:1  3:6:1*          600
295 9:0:0   FC    10 normal    417792    80896 2:6:2* 3:6:2           450
296 9:0:1   FC    10 normal    417792    81920 2:6:2  3:6:2*          450
297 9:0:2   FC    10 normal    417792    79872 2:6:2* 3:6:2           450
298 9:0:3   FC    10 normal    417792    80896 2:6:2  3:6:2*          450
299 9:1:0   FC    10 normal    417792    79872 2:6:2* 3:6:2           450
300 9:1:1   FC    10 normal    417792    81920 2:6:2  3:6:2*          450
301 9:1:2   FC    10 normal    417792    78848 2:6:2* 3:6:2           450
302 2:6:2   FC    10 normal    417792    78848 0:3:3* 1:3:3           450
303 9:1:3   FC    10 normal    417792    79872 2:6:2  3:6:2*          450
304 9:2:0   FC    10 normal    417792    79872 2:6:2* 3:6:2           450
305 9:2:1   FC    10 normal    417792    79872 2:6:2  3:6:2*          450
306 9:2:2   FC    10 normal    417792    78848 2:6:2* 3:6:2           450
307 9:2:3   FC    10 normal    417792    80896 2:6:2  3:6:2*          450
308 11:7:2  FC    10 normal    417792    14336 2:3:1* 3:3:1           450
309 9:8:0   FC    10 normal    417792    80896 2:6:2* 3:6:2           450
310 9:8:1   FC    10 normal    417792    80896 2:6:2  3:6:2*          450
311 9:8:2   FC    10 normal    417792    78848 2:6:2* 3:6:2           450
312 9:8:3   FC    10 normal    417792    81920 2:6:2  3:6:2*          450
313 9:9:0   FC    15 normal    559104    83968 2:6:2* 3:6:2           600
314 9:9:1   FC    15 normal    559104    84992 2:6:2  3:6:2*          600
315 9:9:2   FC    15 normal    559104    84992 2:6:2* 3:6:2           600
316 9:9:3   FC    15 normal    559104    84992 2:6:2  3:6:2*          600
317 10:1:0  FC    10 normal    417792    76800 2:6:3* 3:6:3           450
318 7:7:3   FC    10 normal    417792    14336 0:6:4  1:6:4*          450
319 10:1:1  FC    10 normal    417792    78848 2:6:3  3:6:3*          450
320 10:1:2  FC    10 normal    417792    79872 2:6:3* 3:6:3           450
321 10:1:3  FC    10 normal    417792    81920 2:6:3  3:6:3*          450
322 10:8:0  FC    10 normal    417792    79872 2:6:3* 3:6:3           450
323 10:8:1  FC    10 normal    417792    81920 2:6:3  3:6:3*          450
324 10:8:2  FC    10 normal    417792    78848 2:6:3* 3:6:3           450
325 5:7:1   FC    10 normal    417792    78848 0:6:2  1:6:2*          450
326 10:8:3  FC    10 normal    417792    79872 2:6:3  3:6:3*          450
327 11:8:0  FC    10 normal    417792    10240 2:3:1* 3:3:1           450
328 11:8:1  FC    10 normal    417792    13312 2:3:1  3:3:1*          450
329 11:8:2  FC    10 normal    417792    14336 2:3:1* 3:3:1           450
330 11:8:3  FC    10 normal    417792    17408 2:3:1  3:3:1*          450
331 12:8:0  FC    10 normal    417792    10240 2:3:2* 3:3:2           450
332 12:8:1  FC    10 normal    417792    13312 2:3:2  3:3:2*          450
333 12:8:2  FC    10 normal    417792    13312 2:3:2* 3:3:2           450
334 12:8:3  FC    10 normal    417792    17408 2:3:2  3:3:2*          450
335 13:1:0  FC    10 normal    417792    77824 2:6:4* 3:6:4           450
336 13:1:1  FC    10 normal    417792    80896 2:6:4  3:6:4*          450
337 13:1:2  FC    10 normal    417792    80896 2:6:4* 3:6:4           450
338 13:1:3  FC    10 normal    417792    81920 2:6:4  3:6:4*          450
339 13:8:0  FC    10 normal    417792    79872 2:6:4* 3:6:4           450
340 13:8:1  FC    10 normal    417792    82944 2:6:4  3:6:4*          450
341 13:8:2  FC    10 normal    417792    79872 2:6:4* 3:6:4           450
342 12:0:2  FC    10 normal    417792    12288 2:3:2* 3:3:2           450
343 14:8:0  FC    10 normal    417792    10240 2:3:4* 3:3:4           450
344 11:7:3  FC    10 normal    417792    11264 2:3:1  3:3:1*          450
345 0:5:1   FC    15 normal    559104    83968 0:3:1  1:3:1*          600
346 0:5:2   FC    15 normal    559104    81920 0:3:1* 1:3:1           600
347 0:5:3   FC    15 normal    559104    83968 0:3:1  1:3:1*          600
348 1:5:0   FC    15 normal    559104    81920 0:3:2* 1:3:2           600
349 1:5:1   FC    15 normal    559104    81920 0:3:2  1:3:2*          600
350 1:5:2   FC    15 normal    559104    80896 0:3:2* 1:3:2           600
351 1:5:3   FC    15 normal    559104    84992 0:3:2  1:3:2*          600
352 2:5:0   FC    15 normal    559104    84992 0:3:3* 1:3:3           600
353 2:5:1   FC    15 normal    559104    86016 0:3:3  1:3:3*          600
354 2:5:2   FC    15 normal    559104    83968 0:3:3* 1:3:3           600
355 2:5:3   FC    15 normal    559104    86016 0:3:3  1:3:3*          600
356 3:5:0   FC    15 normal    559104    83968 0:3:4* 1:3:4           600
357 4:6:1   FC    10 normal    417792    79872 0:6:1  1:6:1*          450
